#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1061	1061	1061	1061	1061	1061	1044	1044	14	4
1061	1061	1061	1061	1062	1062	1044	1044	14	4
1025	1007	1026	1008	1026	1026	1008	1008	15	57
1025	1007	1026	1008	1026	1026	1009	1009	15	57
1025	1025	1026	1026	1026	1026	1008	1008	15	52
1025	1025	1026	1026	1026	1026	1009	1009	15	52
1025	1025	1026	1026	1026	1026	1026	1026	15	46
1025	1025	1026	1026	1026	1026	1027	1027	15	46
1043	1025	1044	1026	1026	1026	1026	1026	15	41
1043	1025	1044	1026	1026	1026	1027	1027	15	41
1043	1025	1044	1026	1044	1044	1026	1026	15	34
1043	1025	1044	1026	1044	1044	1027	1027	15	34
1043	1043	1044	1044	1044	1044	1026	1026	15	29
1043	1043	1044	1044	1044	1044	1027	1027	15	29
1043	1043	1044	1044	1044	1044	1044	1044	15	24
1043	1043	1044	1044	1044	1044	1045	1045	15	24
1061	1043	1062	1044	1044	1044	1044	1044	15	18
1061	1043	1062	1044	1044	1044	1045	1045	15	18
1061	1043	1062	1044	1062	1062	1044	1044	15	12
1061	1043	1062	1044	1062	1062	1045	1045	15	12
1061	1061	1062	1062	1062	1062	1044	1044	15	4
1061	1061	1062	1062	1062	1062	1045	1045	15	4
1026	1008	1026	1008	1026	1026	1009	1009	16	57
1026	1008	1026	1008	1027	1027	1009	1009	16	57
1026	1026	1026	1026	1026	1026	1009	1009	16	52
1026	1026	1026	1026	1026	1026	1027	1027	16	46
1026	1026	1026	1026	1027	1027	1009	1009	16	52
1026	1026	1026	1026	1027	1027	1027	1027	16	46
1044	1026	1044	1026	1026	1026	1027	1027	16	41
1044	1026	1044	1026	1027	1027	1027	1027	16	41
1044	1026	1044	1026	1044	1044	1027	1027	16	34
1044	1026	1044	1026	1045	1045	1027	1027	16	34
1044	1044	1044	1044	1044	1044	1027	1027	16	29
1044	1044	1044	1044	1044	1044	1045	1045	16	24
1044	1044	1044	1044	1045	1045	1027	1027	16	29
1044	1044	1044	1044	1045	1045	1045	1045	16	24
1062	1044	1062	1044	1044	1044	1045	1045	16	18
1062	1044	1062	1044	1045	1045	1045	1045	16	18
1062	1044	1062	1044	1062	1062	1045	1045	16	12
1062	1044	1062	1044	1063	1063	1045	1045	16	12
1062	1062	1062	1062	1062	1062	1045	1045	16	4
1062	1062	1062	1062	1063	1063	1045	1045	16	4
1026	1008	1027	1009	1027	1027	1009	1009	17	57
1026	1008	1027	1009	1027	1027	1010	1010	17	57
1026	1026	1027	1027	1027	1027	1009	1009	17	52
1026	1026	1027	1027	1027	1027	1010	1010	17	52
1026	1026	1027	1027	1027	1027	1027	1027	17	46
1026	1026	1027	1027	1027	1027	1028	1028	17	46
1044	1026	1045	1027	1027	1027	1027	1027	17	41
1044	1026	1045	1027	1027	1027	1028	1028	17	41
1044	1026	1045	1027	1045	1045	1027	1027	17	34
1044	1026	1045	1027	1045	1045	1028	1028	17	35
1044	1044	1045	1045	1045	1045	1027	1027	17	29
1044	1044	1045	1045	1045	1045	1028	1028	17	29
1044	1044	1045	1045	1045	1045	1045	1045	17	24
1044	1044	1045	1045	1045	1045	1046	1046	17	24
